name,brand,category,subcategory,ingredients,price,description
FILORGA NCEF ESSENCE - LOTION MULTI CORRECTION 150ML,FILORGA,Soins Visage,Peaux grasses,"aqua (water), propanediol, glycerin, methylsilanol mannuronate, butylene glycol, polymethyl methacrylate, propylene glycol dicaprylate, butyrospermum parkii (shea) oil",145.0,"Améliorez votre peau avec la lotion multi-correction Filorga NCEF Essence Supreme , une essence hydratante qui prépare la peau à votre routine de soin. Convient à tous les types de peaux, grâce à la technologie AQUA-MX, elle apporte une hydratation rapide et durable. Riche de 50 actifs, sa concentration est comparable à la méso-injection pour cibler les signes du vieillissement et hydrater intensément le teint. Sa formule à base d’acide hyaluronique repulpe les ridules, tandis qu’un polysaccharide anti-pollution protège et régénère la peau. La gomme de tara et l’extrait de sauge renforcent la barrière cutanée pour une peau plus jeune et éclatante. Pourquoi on l’adore ? La peau devient lisse, douce et lumineuse. Cette lotion aqueuse rafraîchissante hydrate intensément et optimise l’efficacité de votre routine de soin. Conseils d’utilisation : Appliquer matin et soir sur peau propre, en première étape du rituel. Utiliser avec un coton ou directement dans la main et masser délicatement jusqu’à absorption complète. Fonctionne bien avec : Complétez avec les autres soins de la gamme Filorga NCEF pour un effet anti-âge renforcé. Composition : Aqua (Water), Propanediol, Glycerin, Methylsilanol Mannuronate, Butylene Glycol, Polymethyl Methacrylate, Propylene Glycol Dicaprylate, Butyrospermum Parkii (Shea) Oil, et bien d’autres."
XEN BiCover Ecran beige clair SPF 50 + lotion cheveux SPF 30 OFFERTE,XEN,Soins Visage,Peaux grasses,"collagène 1 vegan, resvératrol 500, acide hyaluronique",60.0,"L’Écran Solaire Invisible SPF50+ CB3 Defence de XEN est conçu pour offrir une protection solaire optimale du visage, du décolleté et des mains. Spécialement formulé pour les peaux sèches, il protège efficacement la peau tout en restant invisible à l’application. Sa texture confortable permet une utilisation quotidienne, idéale pendant les périodes d’exposition au soleil. Enrichi en actifs antioxydants et vitaminés, CB3 Defence aide à prévenir les effets du photovieillissement, à atténuer l’apparition des taches brunes et des rides. Il contribue également à protéger la peau des agressions liées à la pollution, tout en apportant confort et nutrition aux peaux sèches. Composition : Vitamine C, Vitamine E, Vitamine F, Vitamine B3, Niacinamide PC, Coenzyme Q10. Conseils d’utilisation : Appliquer l’Écran Solaire Invisible SPF50+ XEN CB3 Defence sur le visage, le décolleté, les épaules et les mains avant toute exposition au soleil. Renouveler l’application aussi souvent que nécessaire, notamment en cas d’exposition prolongée. Éviter l’exposition aux heures de fort ensoleillement."
MADAGASCAR CENTELLA - LIGHT CLEANSING OIL 200ML,MADAGASCAR,Soins Visage,Peaux grasses,"ingrédients principaux ethylhexyl stearate, cetyl ethylhexanoate, sorbitan-30 tetraoleate, extrait de centella asiatica (10 000 ppm), huile de graines de helianthus annuus (tournesol), huile de fruit citrus aurantium bergamia (bergamote), huile de fruit olea europaea (olive), huile de graines simmondsia chinensis (jojoba), ethylhexylglycerin, huile de fleur pelargonium graveolens, huile de fleur rosa damascena, limonene, linalool.",148.0,"Nettoyant Huileux Léger Madagascar Centella Un soin idéal pour la peau : ce nettoyant huileux léger élimine en douceur le maquillage, les impuretés, l'excès de sébum et la protection solaire. Bienfaits Nettoie profondément et efficacement. Hydrate la peau tout en éliminant le maquillage et les impuretés. Ne dessèche pas et ne provoque pas d'irritation. Apaise et régénère la peau. Riche en extraits floraux et huiles nourrissantes pour revitaliser le teint. Informations Convient à tous les types de peau. Ingrédients principaux Ethylhexyl Stearate, Cetyl Ethylhexanoate, Sorbitan-30 Tetraoleate, Extrait de Centella Asiatica (10 000 ppm), Huile de graines de Helianthus Annuus (Tournesol), Huile de fruit Citrus Aurantium Bergamia (Bergamote), Huile de fruit Olea Europaea (Olive), Huile de graines Simmondsia Chinensis (Jojoba), Ethylhexylglycerin, Huile de fleur Pelargonium Graveolens, Huile de fleur Rosa Damascena, Limonene, Linalool."
AVENE - COFFRET : VITAMINE ACTIV Cg + ROULEAU EN JADE OFFERT,AVENE,Soins Visage,Peaux grasses,,139.9,"Le Pack Avène VITAMIN ACTIV Cg Un soin complet éclat et anti-âge, alliant un sérum correcteur performant à un rouleau en jade offert, pour maximiser les effets de votre routine beauté. Ce coffret contient : Avène VITAMIN ACTIV Cg Sérum Correcteur Éclat (30ml) Un sérum hautement efficace combinant trois actifs puissants : 1,8% de Vitamine Cg (équivalente à 20% de Vitamine C pure) : Antioxydant, elle ravive l’éclat et lisse la peau. 3% de Niacinamide : Atténue les taches brunes, apaise et unifie le teint. 1,5% de Bakuchiol : Alternative douce au rétinol, il stimule le renouvellement cellulaire et raffermit la peau. Rouleau en jade OFFERT Un accessoire 100% naturel pour masser le visage, facilitant l'absorption du sérum et stimulant la microcirculation. Il apaise, décongestionne et raffermit la peau, pour un teint lumineux et reposé. Bénéfices : Illumine et uniformise le teint. Réduit les rides, ridules et taches pigmentaires. Protège contre le stress oxydatif (pollution, UV). Stimule la régénération cellulaire et raffermit la peau. Conseils d’utilisation : Appliquez le sérum matin et/ou soir sur peau propre, avant la crème hydratante. Utilisez le rouleau en jade avec des mouvements doux de l’intérieur vers l’extérieur du visage pour optimiser l'absorption et détendre les traits. Convient à tous types de peau, même sensibles."
ALMAFLORE HUILE DE JOJOBA BIO 50ML,ALMAFLORE,Soins Visage,Peaux grasses,"ingrédients actifs: natural growth factor fgf, un complexe de caféine avec un double effet:",20.0,"Usage de l'huile de jojoba Visage Cette huile convient aux peaux grasses, acnéiques, sèches ou matures. Elle est efficace même pour les enfants. Cheveux Elle est utilisée pour les cheveux gras, cassants et ternes. Corps L'huile de jojoba est idéale pour les massages. Bienfaits de l'huile de jojoba pour la peau - Prévient la déshydratation. - Convient aux peaux sensibles : protectrice, adoucissante et nourrissante. - Régule les sécrétions de sébum. - Action cicatrisante reconnue. - Effet anti-âge : maintient la souplesse, l'élasticité et active le métabolisme de l'élastine. Bienfaits pour les cheveux et les ongles - Convient aux cheveux gras en normalisant la production de sébum. - Redonne éclat et brillance aux cheveux secs et abîmés. - Nourrit, assouplit et prévient la chute des cheveux."
NOVEXPERT SÉRUM BOOSTER À LA VITAMINE C,NOVEXPERT,Soins Visage,Peaux grasses,"formule hautement concentrée en vitamine c, associée à des agents antioxydants et hydratants. sans filtres solaires, non photosensibilisante, adaptée à tous les types de peau. conseils d’",104.0,"Novexpert Booster à la Vitamine C est un soin antioxydant intensif qui lisse visiblement la peau et ravive immédiatement l’éclat du teint. Il apporte quotidiennement à la peau une vitamine essentielle qu’elle ne peut pas synthétiser seule. Sa très haute concentration en vitamine C, non photosensibilisante, convient à tous les types de peau et s’utilise toute l’année. Composition: Formule hautement concentrée en vitamine C, associée à des agents antioxydants et hydratants. Sans filtres solaires, non photosensibilisante, adaptée à tous les types de peau. Conseils d’utilisation: Prélever une à deux noisettes et appliquer sur l’ensemble du visage ainsi que sur les zones ciblées (taches, rides). Le booster peut s’utiliser seul ou avant votre crème habituelle. À appliquer matin et/ou soir. Conseil expert : la vitamine C étant sensible au soleil, ce soin est compatible avec l’exposition solaire mais ne protège pas des UV. Il est recommandé de l’appliquer sous une protection solaire en journée."
BIOBALANCE - SUPER SERUM PURE VITAMIN C 30ML,BIOBALANCE,Soins Visage,Peaux grasses,,58.0,"Sérum à 10 % de Vitamine C Stabilisée Ce sérum hautement concentré à 10 % de vitamine C stabilisée est conçu pour offrir des résultats rapides et visibles en termes d'anti-âge. Sa formule sans eau avec de l'acide L-ascorbique pur protège la peau des radicaux libres, stimule la synthèse du collagène, et améliore l'apparence générale de la peau. - Protège des radicaux libres : Un puissant antioxydant qui défend la peau contre les agressions extérieures. - Stimule la production de collagène : Pour une peau plus ferme et rebondie. - Améliore la clarté et réduit les rides : Lutte contre les signes visibles du vieillissement. - Réduit l'apparence des taches brunes et des décolorations : Unifie le teint et donne un éclat naturel. Mode d'emploi : Appliquer une petite quantité de sérum directement sur le visage nettoyé, matin et soir. Laissez-le être absorbé avant d'appliquer votre crème hydratante."
A-DERMA BIOLOGY AC - GEL MOUSSANT NETTOYANT PURIFIANT 400ML,A-DERMA,Soins Visage,Peaux grasses,ingrédients naturels et respect du microbiote. quantité ,54.0,"ADERMA BIOLOGY AC Gel Moussant Nettoyant Purifiant Gel moussant dermatologique et certifié BIO, spécialement conçu pour nettoyer en douceur les peaux grasses à tendance acnéique sans dessécher. Ce gel désincruste les pores, élimine les impuretés et apporte une sensation de fraîcheur agréable. Adapté aux pré-adolescents dès 9 ans, adolescents et adultes, il est composé à 99% d’ingrédients d’origine naturelle. Grâce à ses actifs végétaux et à son pH physiologique, il purifie la peau, respecte le microbiote et nettoie en douceur. Sans savon, sa mousse onctueuse au parfum doux et végétal se rince facilement, laissant la peau nette et douce. Formule biodégradable avec de l’avoine Rhealba® issue de l’agriculture biologique. - Nettoie sans dessécher - Purifie et équilibre le microbiome - Désincruste les pores et élimine les impuretés - Mousse facile à rincer, non grasse et non collante Conseils d'utilisation : Appliquer 1 à 2 fois par jour sur peau humidifiée, matin et/ou soir. Rincer abondamment puis sécher. Caractéristiques : - 99% d’ingrédients d’origine naturelle - Convient aux adolescents et adultes - Zones : visage, dos, buste - Peaux grasses, à tendance acnéique ou à imperfections Composition : Water (Aqua), Disodium Coco-Glucoside Citrate, Decyl Glucoside, Glycerin, Pentylene Glycol, Sodium Cocoamphoacetate, Garcinia Mangostana Peel Extract, Avena Sativa (Oat) Flower/Leaf/Stem Juice*, Taraxacum Officinale (Dandelion) Rhizome/Root Extract, Aloe Barbadensis Leaf Juice Powder*, Citric Acid, Fragrance (Parfum), Maltodextrin, Polyglyceryl-4 Caprate, Polyglyceryl-6 Caprylate, Sodium Chloride, Xanthan Gum. *Ingrédients issus de l’agriculture biologique. Info Vegan : Sans ingrédient d'origine animale."
FIDERMA ÉCRAN CREME INVISIBLE SPF50+ 50ML,FIDERMA,Soins Visage,Peaux grasses,composition sans parabènes et,54.0,"FIDERMA ÉCRAN CREME INVISIBLE SPF50+ protège la peau sensible du visage et du corps contre les UVA, IR, UVB et lu. Cette crème solaire très haute protection a été développée pour protéger les peaux normales à sèches et intolérantes au soleil contre les coups de soleil. C'est une crème douce et très confortable, grâce à sa texture soft et à sa composition sans parabènes et sans parfum. Résistant à l’eau et au sable. Elle permet de prévenir le photovieillissement, les troubles pigmentaires et les photodermatoses et protège les peaux saines."
CYTOLNAT - PACK : GEL NETTOYANT PURIFIANT + CREME ANTI AGE + CREME A MAINS OFFERTE,CYTOLNAT,Soins Visage,Peaux grasses,,55.0,"Routine complète CYTOLNAT pour une peau purifiée et protégée : - Gel nettoyant purifiant : Commencez votre routine avec ce gel nettoyant doux qui élimine efficacement les impuretés et les excès de sébum, tout en respectant l’équilibre naturel de votre peau. Il laisse votre peau propre, fraîche et prête à recevoir les soins suivants. - Crème anti-âge : Appliquez cette crème anti-âge pour nourrir et régénérer votre peau. Sa formule aide à réduire les signes de l'âge, lissant les rides et redonnant éclat et fermeté à votre peau. - Crème à mains offerte : Complétez votre routine avec cette crème hydratante pour les mains. Elle nourrit et protège la peau fragile des mains, les laissant douces, hydratées et délicatement parfumées. Le pack CYTOLNAT vous offre une routine complète pour purifier, protéger et régénérer votre peau, tout en prenant soin de vos mains au quotidien."
